,2017,2017,2017,2016,2016,2016,2015,2015,2015,2014,2014,2014,2013,2013,2013,2012,2012,2012,2011,2011,2011,2010,2010,2010,2009,2009,2009,2008,2008,2008,2007,2007,2007,2006,2006,2006,2005,2005,2005,2004,2004,2004,2003,2003,2003,2002,2002,2002,2001,2001,2001,2000,2000,2000
,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births
,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria
Country,0-27 days,1-59 months,0-4 years,0-27 days,1-59 months,0-4 years,0-27 days,1-59 months,0-4 years,0-27 days,1-59 months,0-4 years,0-27 days,1-59 months,0-4 years,0-27 days,1-59 months,0-4 years,0-27 days,1-59 months,0-4 years,0-27 days,1-59 months,0-4 years,0-27 days,1-59 months,0-4 years,0-27 days,1-59 months,0-4 years,0-27 days,1-59 months,0-4 years,0-27 days,1-59 months,0-4 years,0-27 days,1-59 months,0-4 years,0-27 days,1-59 months,0-4 years,0-27 days,1-59 months,0-4 years,0-27 days,1-59 months,0-4 years,0-27 days,1-59 months,0-4 years,0-27 days,1-59 months,0-4 years
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,0,15.6,15.6,0,15.5,15.5,0,15.1,15.1,0,15,15,0,15.1,15.1,0,16.3,16.3,0,18.3,18.3,0,20.7,20.7,0,24,24,0,27,27,0,28.9,28.9,0,29.2,29.2,0,27.2,27.2,0,24.8,24.8,0,23,23,0,22.1,22.1,0,22.5,22.5,0,24.2,24.2
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.2,0.2,0,0.1,0.1,0,0.2,0.2,0,0.2,0.2
Bolivia (Plurinational State of),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.1,0,0.4,0.4
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,0,15.8,15.8,0,17.6,17.6,0,20.4,20.4,0,24.3,24.3,0,27.5,27.5,0,33.8,33.8,0,40.7,40.7,0,46.2,46.2,0,49.9,49.9,0,51.6,51.6,0,52.9,52.9,0,53.9,53.9,0,55.8,55.8,0,59.2,59.2,0,63.2,63.2,0,66.9,66.9,0,69.6,69.6,0,71.1,71.1
Burundi,0,5.8,5.8,0,5.8,5.8,0,5.9,5.9,0,6,6,0,6.1,6.1,0,6.5,6.5,0,6.4,6.4,0,7,7,0,7.8,7.8,0,9,9,0,10.7,10.7,0,13.1,13.1,0,16,16,0,20.7,20.7,0,25.8,25.8,0,30.3,30.3,0,36.4,36.4,0,40.5,40.5
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,0,0.2,0.2,0,0.1,0.1,0,0.3,0.3,0,0.3,0.3,0,0.2,0.2,0,0.3,0.3,0,0.5,0.5,0,0.5,0.5,0,0.7,0.7,0,0.4,0.4,0,0.2,0.2,0,0.5,0.5,0,0.3,0.3,0,0.6,0.6,0,1,1,0,0.7,0.7,0,1,1,0,2.1,2.1
Cameroon,0,11.3,11.3,0,12,12,0,12.7,12.7,0,13.1,13.1,0,13.2,13.2,0,13.2,13.2,0,12.8,12.8,0,13.7,13.7,0,16,16,0,19.4,19.4,0,24.3,24.3,0,29.8,29.8,0,33.6,33.6,0,35.1,35.1,0,34.1,34.1,0,31.7,31.7,0,28.1,28.1,0,26,26
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,0,21.2,21.2,0,22.5,22.5,0,24.4,24.4,0,26.6,26.6,0,29.2,29.2,0,32.9,32.9,0,37,37,0,41.5,41.5,0,46,46,0,48.8,48.8,0,52.2,52.2,0,53,53,0,51.1,51.1,0,50,50,0,47,47,0,43.9,43.9,0,40.3,40.3,0,38.3,38.3
Chad,0,10,10,0,10.5,10.5,0,11.4,11.4,0,12.6,12.6,0,14.4,14.4,0,16.5,16.5,0,19.1,19.1,0,21.2,21.2,0,22,22,0,21.7,21.7,0,19.3,19.3,0,18,18,0,15.9,15.9,0,14.9,14.9,0,14.3,14.3,0,14.4,14.4,0,13.5,13.5,0,13.5,13.5
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,1.9,0,1.8,1.8,0,0.7,0.7,0,1.2,1.2,0,1.2,1.2,0,1.2,1.2,0,1.3,1.3,0,1.3,1.3,0,1.3,1.3,0,1.4,1.4,0,1.4,1.4,0,1.4,1.4,0,1.4,1.4,0,1.5,1.5
Congo,0,3.2,3.2,0,3.5,3.5,0,3.8,3.8,0,4,4,0,4.2,4.2,0,4.1,4.1,0,4.4,4.4,0,4.7,4.7,0,5.2,5.2,0,5.9,5.9,0,6.9,6.9,0,8.5,8.5,0,10.6,10.6,0,12.8,12.8,0,14.7,14.7,0,15.7,15.7,0,15.8,15.8,0,15.1,15.1
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Côte d'Ivoire,0,6.2,6.2,0,6.5,6.5,0,7,7,0,7.2,7.2,0,8.7,8.7,0,11,11,0,14.4,14.4,0,17.3,17.3,0,19,19,0,19,19,0,20,20,0,21.7,21.7,0,26.3,26.3,0,32.9,32.9,0,39.5,39.5,0,43,43,0,43.3,43.3,0,41.1,41.1
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,0,11.4,11.4,0,11.8,11.8,0,12,12,0,12.4,12.4,0,12.9,12.9,0,13.9,13.9,0,16,16,0,19.5,19.5,0,24.1,24.1,0,28.7,28.7,0,33.8,33.8,0,38.5,38.5,0,39.8,39.8,0,41.2,41.2,0,39.6,39.6,0,38.6,38.6,0,37.9,37.9,0,38.8,38.8
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.2,0.2,0,0.2,0.2,0,0.2,0.2,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,0,13.8,13.8,0,15.6,15.6,0,17.9,17.9,0,21.3,21.3,0,24.4,24.4,0,26.5,26.5,0,27.6,27.6,0,27.6,27.6,0,27.4,27.4,0,28.5,28.5,0,30.4,30.4,0,32.5,32.5,0,33.9,33.9,0,34,34,0,32.5,32.5,0,31.2,31.2,0,30.3,30.3,0,30.1,30.1
Eritrea,0,0.4,0.4,0,0.3,0.3,0,0.2,0.2,0,0.4,0.4,0,0.1,0.1,0,0.1,0.1,0,0.2,0.2,0,0.3,0.3,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.2,0.2,0,0.1,0.1,0,0.3,0.3,0,0.2,0.2
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,0,0.4,0.4,0,0.5,0.5,0,0.6,0.6,0,0.6,0.6,0,0.9,0.9,0,0.8,0.8,0,0.8,0.8,0,1.7,1.7,0,1.6,1.6,0,1,1,0,1.5,1.5,0,2,2,0,2.4,2.4,0,3.5,3.5,0,2.5,2.5,0,2,2,0,1.9,1.9,0,1.6,1.6
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,0,3.1,3.1,0,3.2,3.2,0,3.3,3.3,0,3.4,3.4,0,3.4,3.4,0,3.3,3.3,0,3.1,3.1,0,2.9,2.9,0,2.7,2.7,0,2.6,2.6,0,2.6,2.6,0,2.9,2.9,0,3.4,3.4,0,4.3,4.3,0,5.5,5.5,0,6.8,6.8,0,7.8,7.8,0,8.5,8.5
Gambia,0,2.5,2.5,0,2.6,2.6,0,2.7,2.7,0,2.9,2.9,0,3,3,0,3.1,3.1,0,3.3,3.3,0,3.4,3.4,0,3.3,3.3,0,3.5,3.5,0,3.6,3.6,0,3.9,3.9,0,4.3,4.3,0,4.9,4.9,0,5.6,5.6,0,6.4,6.4,0,7.2,7.2,0,8.3,8.3
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,0,3.6,3.6,0,4.2,4.2,0,5,5,0,6.3,6.3,0,7.8,7.8,0,8.9,8.9,0,9.9,9.9,0,10.6,10.6,0,11,11,0,10.9,10.9,0,11.1,11.1,0,11.5,11.5,0,12,12,0,13.2,13.2,0,14.5,14.5,0,16.2,16.2,0,17.4,17.4,0,18.4,18.4
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,0,14,14,0,15.1,15.1,0,16.7,16.7,0,19,19,0,21.2,21.2,0,24.6,24.6,0,27,27,0,28.4,28.4,0,28.6,28.6,0,27.5,27.5,0,27.6,27.6,0,27.5,27.5,0,28.1,28.1,0,29.1,29.1,0,30.1,30.1,0,30.8,30.8,0,31,31,0,30.7,30.7
Guinea-Bissau,0,3.4,3.4,0,3.6,3.6,0,3.4,3.4,0,3.6,3.6,0,3.8,3.8,0,4.1,4.1,0,4.4,4.4,0,4.6,4.6,0,4.7,4.7,0,4.8,4.8,0,5,5,0,5.4,5.4,0,6.1,6.1,0,7.2,7.2,0,8.9,8.9,0,11.3,11.3,0,14.1,14.1,0,17,17
Guyana,0,0.5,0.5,0,0.4,0.4,0,0.3,0.3,0,0.4,0.4,0,1.8,1.8,0,1.5,1.5,0,1.5,1.5,0,1,1,0,0.5,0.5,0,0.4,0.4,0,0.2,0.2,0,0.6,0.6,0,1.2,1.2,0,0.8,0.8,0,0.8,0.8,0,0.6,0.6,0,0.7,0.7,0,0.7,0.7
Haiti,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.2,0.2,0,0.2,0.2,0,0.2,0.2,0,0.2,0.2,0,0.2,0.2,0,0.2,0.2,0,0.2,0.2,0,0.2,0.2,0,0.2,0.2,0,0.2,0.2,0,0.2,0.2,0,0.2,0.2
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.2,0.2,0,0.2,0.2,0,0.2,0.2,0,0.1,0.1,0,0.2,0.2,0,0.1,0.1
Indonesia,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.2,0.2,0,0.2,0.2,0,0.2,0.2,0,0.2,0.2,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1
Iran (Islamic Republic of),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
